Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,threshold
Gm49980,193.81116725467544,9.142640689037334,2.285236377121935,4.000741796588994,6.314422835017283e-5,4.403745815720565e-4,TRUE
Aff3,108.61947520339677,9.077945726282154,1.705381767798818,5.323116440959319,1.0200440357296641e-7,1.640995842480097e-6,TRUE
Ighv1-52,74.02052263425354,8.791265046337243,2.3418963862653026,3.753908626314999,1.740983497258803e-4,0.001038188038087461,TRUE
Gm28710,54.88245761376907,8.787534571347264,2.079893428118118,4.224992709986204,2.389485130361144e-5,1.894415213208291e-4,TRUE
Gm9765,588.5730312301619,8.76511803333168,2.7180377408522207,3.2247962938820125,0.0012606233314268528,0.005481156174143106,TRUE
Igkv6-17,190.75473792869016,8.481352040866165,2.8263398414040894,3.0008252781989366,0.002692490096254224,0.010298894651909609,TRUE
Onecut2,158.10720743528714,8.336748086840462,1.7487092554487356,4.767372312386585,1.8664420943897025e-6,2.0803501519742037e-5,TRUE
Igkv3-7,107.32248317402806,8.242317069882088,2.8191379133330483,2.923701260197395,0.003458965362035253,0.012589616575054781,TRUE
Ighv6-6,164.40858008906793,8.158211755017952,2.4421577729605515,3.3405752262795074,8.360502790684648e-4,0.003915562988213662,TRUE
Tcf23,62.772211043025365,8.148254214807215,1.7017621854108018,4.7881274391111495,1.6834473769674045e-6,1.899412718431078e-5,TRUE
Ighv1-9,214.95815002688278,8.119244204925486,3.0543271931809564,2.658275846494896,0.0078541578243025,0.02479145140584692,TRUE
Rbm20,44.25696951383855,8.117531632489985,1.6346474112379752,4.965922055535081,6.837541488505777e-7,8.565784453965219e-6,TRUE
Ighv1-22,73.51484869704942,8.078605777451594,3.029253078320297,2.66686393265337,0.007656266236711508,0.024305906873822673,TRUE
Pcdhgb6,73.83212702186056,8.05758632743826,1.497621413369859,5.380255821334416,7.438006411908004e-8,1.23891901451151e-6,TRUE
Rgs6,46.287480056972164,8.055227245405748,1.6933278055296301,4.757039492944649,1.964527471707871e-6,2.1783574291396012e-5,TRUE
Gm7292,36.16633506525153,8.025048733882365,2.0931121479511243,3.834027116864144,1.260622353135393e-4,7.898836263316702e-4,TRUE
Igkv8-24,361.81104846996885,7.987396041293302,2.5970866920629327,3.075521531762464,0.0021013475536470123,0.008414543564230569,TRUE
Fut10,58.50807908235054,7.971814552661109,1.5595545631401346,5.111597081034476,3.194465891630029e-7,4.455864453606771e-6,TRUE
Gpc6,98.6559459866979,7.96900705893878,1.5411668036706077,5.170762204298029,2.3314109082069956e-7,3.3789705392594633e-6,TRUE
Ighv6-3,89.25912561725885,7.965606294584171,2.45488027205873,3.244804394433458,NA,NA,NA
Ighv9-3,139.69822220850537,7.916763291105833,2.3063476320166174,3.432597576013984,NA,NA,NA
Asgr1,35.27882270197119,7.9146432542258465,1.7623798658185663,4.490883837094769,7.092822882890616e-6,6.592534701694913e-5,TRUE
